Message,Category
I'm in inside office..still filling forms.don know when they leave me.,ham
"K so am I, how much for an 8th? Fifty?",ham
Shant disturb u anymore... Jia you...,ham
Are you going to wipro interview today?,ham
Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,ham
Wot u up 2 u weirdo?,ham
Good Morning my Dear........... Have a great &amp; successful day.,ham
Oh ok no prob..,ham
Audrie lousy autocorrect,ham
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham
Please sen :)my kind advice :-)please come here and try:-),ham
Ok,ham
Well good morning mr . Hows london treatin' ya treacle?,ham
"Usf I guess, might as well take 1 car",ham
Auntie huai juan never pick up her phone,ham
Is that what time you want me to come?,ham
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,ham
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,ham
Pls i wont belive god.not only jesus.,ham
Any way where are you and what doing.,ham
it's really getting me down just hanging around.,ham
Where are you?when wil you reach here?,ham
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",ham
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",ham
"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",ham
You need to get up. Now.,ham
Then any special there?,ham
No no. I will check all rooms befor activities,ham
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,ham
"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",ham
The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,ham
